zip_code,neighborhood,net_yield,rentability_score,risk_score,reoi_index,rank,methodology_source
28273,Steele Creek,3.19%,75.4,32.6,59.1,1,file:///c:/Users/mab07/OneDrive/Desktop/RealEstateResearch/reports/3_charlotte_zipcode_analysis.md
28269,University City,3.34%,70.5,30.2,55.3,2,file:///c:/Users/mab07/OneDrive/Desktop/RealEstateResearch/reports/3_charlotte_zipcode_analysis.md
28203,South End / Dilworth,1.22%,47.5,11.4,41.8,3,file:///c:/Users/mab07/OneDrive/Desktop/RealEstateResearch/reports/3_charlotte_zipcode_analysis.md
28277,Ballantyne,1.77%,36.7,0.0,36.7,4,file:///c:/Users/mab07/OneDrive/Desktop/RealEstateResearch/reports/3_charlotte_zipcode_analysis.md
28202,Uptown,2.45%,57.0,41.0,36.5,5,file:///c:/Users/mab07/OneDrive/Desktop/RealEstateResearch/reports/3_charlotte_zipcode_analysis.md
28215,East Charlotte,3.28%,63.3,60.2,33.2,6,file:///c:/Users/mab07/OneDrive/Desktop/RealEstateResearch/reports/3_charlotte_zipcode_analysis.md
28216,Northwest Charlotte,3.08%,60.7,70.0,25.7,7,file:///c:/Users/mab07/OneDrive/Desktop/RealEstateResearch/reports/3_charlotte_zipcode_analysis.md
28205,NoDa / Plaza Midwood,1.95%,43.9,37.4,25.2,8,file:///c:/Users/mab07/OneDrive/Desktop/RealEstateResearch/reports/3_charlotte_zipcode_analysis.md
